x:152 , y:359
x:7 , y:338
x:175 , y:212
x:322 , y:361
x:334 , y:69
x:312 , y:382
x:82 , y:172
x:257 , y:117
x:308 , y:73
x:270 , y:69
x:355 , y:92
x:13 , y:293
x:100 , y:256
x:173 , y:370
x:194 , y:324
x:283 , y:354
x:292 , y:346
x:111 , y:291
x:204 , y:67
x:89 , y:385
x:368 , y:138
x:262 , y:1
x:70 , y:2
x:27 , y:119
x:188 , y:330
x:374 , y:297
x:191 , y:95
x:303 , y:388
x:310 , y:291
x:167 , y:76
x:31 , y:104
x:3 , y:51
x:294 , y:323
x:343 , y:114
x:99 , y:98
x:188 , y:32
x:385 , y:19
x:22 , y:50
x:169 , y:7
x:289 , y:49
x:299 , y:309
x:357 , y:264
x:252 , y:90
x:333 , y:260
x:337 , y:162
x:218 , y:101
x:152 , y:320
x:243 , y:221
x:287 , y:398
x:96 , y:138
x:122 , y:387
x:358 , y:236
x:286 , y:59
x:66 , y:380
x:382 , y:7
x:316 , y:308
x:172 , y:281
x:371 , y:273
x:134 , y:376
x:90 , y:304
x:357 , y:23
x:343 , y:308
x:130 , y:109
x:107 , y:138
x:277 , y:17
x:356 , y:155
x:391 , y:351
x:11 , y:315
x:247 , y:277
x:284 , y:29
x:337 , y:229
x:110 , y:153
x:378 , y:61
x:37 , y:33
x:290 , y:64
x:87 , y:127
x:36 , y:247
x:309 , y:382
x:121 , y:118
x:87 , y:368
x:124 , y:350
x:301 , y:44
x:311 , y:67
x:297 , y:264
x:294 , y:158
x:340 , y:133
x:286 , y:183
x:245 , y:50
x:36 , y:217
x:281 , y:234
x:362 , y:278
x:125 , y:321
x:303 , y:350
x:20 , y:34
x:3 , y:376
x:278 , y:107
x:103 , y:79
x:146 , y:132
x:396 , y:14
x:125 , y:43
x:129 , y:242
x:26 , y:65
x:67 , y:15
x:184 , y:223
x:57 , y:103
x:381 , y:18
x:339 , y:19
x:321 , y:59
x:45 , y:194
x:123 , y:341
x:49 , y:48
x:79 , y:1
x:133 , y:152
x:119 , y:178
x:173 , y:130
x:324 , y:244
x:309 , y:302
x:270 , y:350
x:125 , y:376
x:32 , y:54
x:24 , y:183
x:154 , y:365
x:24 , y:363
x:110 , y:76
x:369 , y:70
x:70 , y:233
x:186 , y:18
x:123 , y:150
x:280 , y:320
x:2 , y:194
x:38 , y:53
x:308 , y:326
x:229 , y:299
x:227 , y:178
x:184 , y:306
x:89 , y:259
x:225 , y:209
x:124 , y:196
x:272 , y:201
x:271 , y:186
x:19 , y:193
x:212 , y:342
x:44 , y:158
x:78 , y:287
x:81 , y:324
x:329 , y:32
x:310 , y:71
x:370 , y:189
x:367 , y:91
x:398 , y:149
x:9 , y:104
x:313 , y:39
